GFP genomes (scaled),Parameters,GFP IU run=0,total_interactions run=0,GFP IU run=1,total_interactions run=1,GFP IU run=2,total_interactions run=2
16,simul_name=var_clump_diam,0,41,2,153,0,64
16,num_simulations=3,2,277,0,204,1,190
16,sheet=3,0,82,0,176,1,117
21,scale=100,0,46,0,63,0,122
21,cell_count=2300,0,30,1,162,1,273
21,muG=0,0,61,4,115,0,57
41,sigmaG=1,1,195,3,499,1,180
41,muR=12,3,179,0,103,0,115
41,sigmaR=1,2,122,2,231,0,127
84,gamma=0.45,6,430,4,729,1,309
84,vMax=1000.0,2,526,8,1234,2,359
84,remove=1,6,564,3,529,3,428
165,scheme=sphere_packing,2,903,3,861,5,1177
165,distribution=fixed,7,1166,8,2144,12,2420
165,ub=300,5,703,1,847,8,1066
333,lb=150,9,1824,6,1636,14,2418
333,mean=230,20,3408,12,2851,17,3033
333,diameter_func=linear,20,2099,9,2017,11,1898
660,vMaxD=15.0,21,5086,33,5002,26,4805
660,bD=120.0,23,4314,28,6078,28,5992
660,FILLER,44,5479,33,6423,14,4507
1320,FILLER,67,14087,89,15936,82,14250
1320,FILLER,69,15266,67,12958,85,17635
1320,FILLER,75,13246,73,14718,98,20713
2010,FILLER,165,35427,162,33677,179,34080
2010,FILLER,171,33701,150,29940,182,39439
2010,FILLER,169,32939,174,33845,147,26912
2670,FILLER,293,56658,245,52042,281,56455
2670,FILLER,258,55415,243,55845,269,57094
2670,FILLER,289,61647,245,47732,256,54039
3329,FILLER,414,88351,348,83235,346,75153
3329,FILLER,373,80754,413,96761,406,88735
3329,FILLER,382,84533,375,82244,377,78098
3990,FILLER,487,111298,521,112327,542,122189
3990,FILLER,575,130540,539,115154,525,119521
3990,FILLER,510,112833,581,125342,574,130583
4679,FILLER,686,173278,696,166360,691,176380
4679,FILLER,656,171512,592,150768,679,167597
4679,FILLER,646,160254,699,170835,754,180930
5340,FILLER,813,200649,815,201068,815,209935
5340,FILLER,787,199667,856,222645,852,204699
5340,FILLER,842,226598,833,204742,841,215401
6000,FILLER,1018,272972,997,286296,971,267181
6000,FILLER,992,262665,926,267322,1003,264927
6000,FILLER,990,265979,982,271491,975,269907
6600,FILLER,1097,328039,1047,324923,1125,344313
6600,FILLER,1083,307009,1091,324334,1137,333317
6600,FILLER,1121,323655,1096,335673,1088,328324
16500,FILLER,2142,2643061,2158,2609052,2148,2567474
16500,FILLER,2158,2648970,2172,2589165,2152,2678616
16500,FILLER,2155,2561891,2137,2635605,2155,2697863
30570,FILLER,1821,6654610,1807,6418752,1797,6388339
30570,FILLER,1818,6427556,1797,6409308,1808,6620913
30570,FILLER,1780,6543503,1833,6528978,1875,6469362
50099,FILLER,1366,11388332,1374,10299394,1345,10266804
50099,FILLER,1334,10560861,1256,10518818,1301,11070522
50099,FILLER,1317,11195698,1382,9964447,1373,10798029
66630,FILLER,1081,14077691,1193,15298337,1343,13165878
66630,FILLER,1307,13970783,1327,13479360,1133,15173417
66630,FILLER,1202,13577061,1232,14439411,1310,13153707
99899,FILLER,946,229420,950,229653,921,230223
99899,FILLER,906,229340,954,229375,929,229579
99899,FILLER,907,229146,916,229940,947,230359
133179,FILLER,1108,306732,1126,306769,1097,306950
133179,FILLER,1135,306168,1124,305615,1061,305082
133179,FILLER,1128,306570,1159,305953,1130,305480
150000,FILLER,1238,345122,1244,345564,1224,346073
150000,FILLER,1219,344685,1229,345771,1210,343409
150000,FILLER,1250,345417,1169,345857,1287,344968